start_id,end_id
31166,"रागः	सङ्गीते स्वराणां विशेषेण प्रकारेण तथा च क्रमेण कृतया रचनया भूतः गीतस्य आलेखः।:""भारतीयसङ्गीते षड् रागाः सन्ति इति मन्यते।""	noun:"""""
21179,असुरः
22263,अप्सरसः
16108,स्वरः
22909,जलपक्षी
30384,विहारस्थलानि
29354,राक्षसी
35266,मन्त्रालयः
29772,कुरुवंशी
32011,अर्थालङ्कारः
2215,मांसाहारी
36620,मन्त्रालयः
3321,प्रधानः
31210,गोत्रप्रवर्तकः
33464,व्यञ्जनम्
7764,कालः
29894,ऋषिः
33674,उपचारः
30820,सागरः
39973,भूतकालः
39047,यानम्
38835,अतृप्तिः
21859,पौराणिकपुरुषः
4446,पृष्ठवंशहीनजीवः
18230,भर्त्सनम्
30894,यक्षिणी
4369,कथा
23973,मद्यम्
25772,पुरम्
30196,मन्दिरम्
25236,पुरम्
4490,सूक्ष्मजन्तुः
26197,अप्सरसः
18915,वंशः
10521,लेख्यपत्रम्
25832,मण्डलम्
34182,लोकनृत्यम्
31381,वृत्तम्
21728,गन्धद्रव्यम्
22956,वीजनम्
2843,अनिच्छा
2075,स्थलम्
29740,गन्धर्वः
1547,मृगः
6797,खगः
9663,स्त्री
30173,पुरम्
24749,मण्डलम्
10121,मनुष्यः
7421,क्षुपः
25983,मण्डलम्
9359,कर्तव्यम्
10734,जाति
26621,नदी
32010,अवसरः
6329,प्रतियोगिता
26236,दशा
14099,उपायः
14368,बादशाहः
954,संस्कारः
33652,आसनम्
28241,स्थलम्
10402,अभिरुचिः
9818,प्रतियोगिता
385,क्रिया
35535,शक्तिः
16903,पूर्णिमा
31245,धातुः
11194,मानवकृति
1864,दृश्यम्
29279,आप्तः
5562,कर्णभूषणम्
1594,जैनसाधुः
9686,शिवगणः
12337,परिमाणम्
13813,सङ्ख्या
21857,गन्धर्वः
8666,पदम्
31197,गण्डः
9684,कीटकः
28395,सभा
5960,"महाविद्याः	हिन्दूतन्त्रशास्त्रे  प्रोक्तानि शक्तेः काली तारा त्रिपुरसुन्दरी भुवनेश्वरी भैरवी छिन्नमस्ता धूमावती बगलामुखी मातङ्गी तथा च कमलात्मिका इति दश धुन्वत्-रूपाणि यानि परा विद्यायाः देवीरूपाणि इति मन्यते:""महाभागवत्पुराणे तथा च बृहद्धर्मपुराणे महाविद्यायाः नामानि काली तारा षोड़षी भुवनेश्वरी भैरवी छिन्नमस्ता धूमावती बगलामुखी मातङ्गी कमलात्मिका च इति प्रोक्तानि"""
25283,पुरम्
906,पाकपात्रम्
5075,शारी
218,मनुष्यः
8635,पद्धतिः
26805,आदित्यः
37449,मानवकृति
25741,पुरम्
35172,मानवकृति
9758,मनुष्यः
38539,कथा
33311,मधुमक्षिका
30013,असुरः
29786,असुरः
35118,निधिः
18325,क्रिया
4047,क्षुपः
21501,आम्रम्
22871,यन्त्रम्
14309,सुगन्धः
36523,शाला
3361,ऋणम्
34913,कर्म
16837,गीतम्
6314,कर्म
26645,पदम्
5381,दशा
35047,वादविवादः
33185,मृगः
31893,छप्पय-छन्दः
23730,कर्म
9609,मनुष्यः
1467,शस्यम्
23966,राजधानी
26705,युथः
13464,शब्दकोशः
39935,दशा
4916,मनुष्यः
10567,तृणम्
3363,विवाहः
3784,सभा
63,दशा
3488,मनोभावः
23134,अस्तित्वम्
4474,चिह्नम्
37839,विशेषता
29295,मनुष्यः
28526,पशुः
23059,वृक्षः
15783,सङ्ख्या
14353,दशा
7296,भूमिः
4877,विबुध्
12558,पदम्
36340,भूभागः
22005,पौराणिकपुरुषः
31776,कर्म
23227,मनुष्यः
15275,राजधानी
9153,वृक्षः
32917,नदी
21235,असुरः
22615,वंशपात्रम्
21544,आप्तः
24900,एकवर्षीय-वनस्पतिः
35909,क्रिया
565,वस्तुः
35274,मुखम्
5410,खाद्यफलम्
35693,वंशजः
33229,मन्त्र
6312,यूरोपीयदेशः
34296,क्रिया
5168,खगः
16074,याच्ञा
25074,मण्डलम्
253,नामधेयम्
36255,संस्था
1878,प्रबन्धः
230,खगोलीयपिण्डः
28252,उपाहारः
27734,साधनम्
21807,पौराणिकपुरुषः
31379,स्नानम्
22173,आकृतिः
33883,स्त्री
5941,प्राकृतिकवस्तु
6310,राज्यम्
4176,अपचितः
33167,स्त्री
27306,दशा
35314,वित्तकोषः
17955,क्षुपा
18252,रागिणी
32148,उपाधिः
3192,गोमयः
28442,संरक्षणम्
6778,नक्षत्रम्
32376,इन्द्रजालम्
1204,रत्नमाला
13353,कालः
21132,पौराणिकपुरुषः
3070,लेखनशैली
4516,कर्म
7995,पौराणिकपुरुषः
29111,निर्माता
9759,उद्योगः
32955,मेघः
6946,कर्म
40167,वृत्त
32554,"रागः	सङ्गीते स्वराणां विशेषेण प्रकारेण तथा च क्रमेण कृतया रचनया भूतः गीतस्य आलेखः।:""भारतीयसङ्गीते षड् रागाः सन्ति इति मन्यते।""	noun:"""""
2501,व्याधिः
30625,काष्ठम्
22845,"रागः	सङ्गीते स्वराणां विशेषेण प्रकारेण तथा च क्रमेण कृतया रचनया भूतः गीतस्य आलेखः।:""भारतीयसङ्गीते षड् रागाः सन्ति इति मन्यते।""	noun:"""""
2120,अनुपस्थितिः
31079,वृत्तम्
1550,तन्त्रम्
16984,व्याधिः
107,कल्पना
39032,नदी
5584,ललितकला
29359,असुरः
731,कवचम्
5403,वृक्षः
13379,वीरः
16095,नदी
29763,पटहः
3487,शारीरिकभागः
33470,अनुवासनम्
13478,योजना
2518,मनुष्यः
37055,विशेषता
29545,खाद्यमांसम्
5616,पृच्छा
25889,मण्डलम्
8193,स्त्री
1636,बाह्य-शारीरिक-भागः
31868,पौराणिकपुरुषः
26571,नदी
31427,क्रिया
30237,शासकः
26196,वृत्तम्
21769,क्रीडा
40656,स्वरः
22730,क्षुपः
25101,मण्डलम्
25965,मण्डलम्
33187,कूपः
6735,मुखम्
21637,आम्रम्
16169,छन्दः
24814,स्वातंत्र्यसैनिकः
22336,यक्षिणी
22630,वृत्तम्
4076,निवासी
2511,अन्नम्
1851,भ्राता
23402,खगः
609,मूलम्
3373,अपत्यम्
31761,कर्म
23420,रसः
22267,असुरः
8463,कर्म
8418,युथः
40061,पत्रम्
35936,कर्म
11400,युथः
24508,शासकः
10685,युथः
12257,उत्सवः
31864,पौराणिकपुरुषः
19506,वृक्षः
3429,कर्म
30815,कुरुवंशी
1429,संसारः
446,दशा
30293,धनम्
31637,काव्यालङ्कारः
23712,मनुष्यः
780,चान्द्रमासः
10841,मानम्
12420,सुषिर-वाद्यम्
25947,मण्डलम्
16994,लावणी
31525,कुरुवंशी
38365,स्थलम्
23080,प्रमादः
7860,हत्या
26338,पौराणिकपुरुषः
15298,पौराणिकस्त्री
36293,कर्म
36010,व्याधिः
29656,आप्तः
34817,उपायः
30375,विहारस्थलानि
25758,वृक्षः
7128,सञ्चारः
25124,पुरम्
2994,मनोभावः
137,सङ्कल्पः
25684,लोकः
17037,सप्तमी
7798,प्रकाशः
34083,गरुडः
4488,आशा
3387,ज्ञानम्
3598,शब्दालङ्कारः
26762,आकृतिः
5523,सदापर्णवृक्षः
8674,क्षेत्रम्
28622,भाषाशैली
36005,वैद्यः
14699,तारा
17161,लता
13236,रचना
38988,मनुष्यः
12365,शारीरिकभागः
24056,अनुयायिन्
11687,चिह्नम्
419,प्राणी
10501,गीतम्
28413,युथः
11232,आवासः
13235,प्रख्यापनम्
3812,शिक्षा
39176,पौराणिकस्त्री
32231,वृत्तिः
11437,शारीरिकभागः
25117,पुरम्
23282,दशा
36942,मानवकृति
15384,पत्नी
5944,अन्नम्
26099,मण्डलम्
16122,कर्म
23666,लक्षणा
32603,असिमार्गाः
11987,छत्रम्
33507,नदी
19696,क्षुपः
6529,समभूमिः
13538,परिमाणम्
23749,जपमाला
12062,मन्त्र
7356,दशा
25911,पुरम्
24580,मण्डलम्
1439,अन्नम्
25883,मण्डलम्
5982,वृक्षः
22912,जलकाकः
23541,यन्त्रम्
24484,पुरम्
7778,मनुष्यः
3142,खाद्यफलम्
29630,ऋषिः
22387,कर्म
29224,पौराणिकस्त्री
7441,अभिनयः
22088,कर्मकरः
33754,समुत्सवः
16392,द्वादशी
369,खण्डः
10139,मनुष्यः
7237,वस्तुभागः
18218,व्याधिः
26094,मण्डलम्
29440,असुरः
3009,प्रसूता
5160,आश्चर्यम्
32488,कर्मकरः
4835,मानवकृति
36197,विधिः
15743,सङ्ख्या
10163,मनोभावः
29594,पौराणिकपुरुषः
11780,शारीरिकभागः
27169,कामेच्छा
39124,कटु
15068,अश्वः
33223,राजवंशः
14460,आरोहक
12132,बाह्य-शारीरिक-भागः
17716,मनुष्यः
24307,यन्त्रम्
7730,व्याधिः
2615,भाषणम्
3099,नौः
14701,पौराणिकस्त्री
24734,पुरम्
31388,पौराणिकपुरुषः
19781,शब्दः
40073,पदार्थः
11773,क्रिया
24083,साधुः
29449,असुरः
456,मन्दिरम्
1303,शरीरम्
30152,शिवः
6139,त्वग्रोगः
5055,पादाभूषणम्
30394,नृपः
3232,ज्ञानम्
39783,मन्त्रालयः
24028,देशः
15428,सप्तमी
11275,नक्षत्रम्
34245,स्थानम्
3934,शारीरिकद्रवः
6698,मानवकृति
21415,कार्यम्
31794,पौराणिकपुरुषः
4828,दशा
35986,आवर्तनम्
29513,मनुः
24663,मण्डलम्
24401,पौराणिकस्त्री
29365,असुरः
16152,वृक्षः
12660,दशा
730,क्षुपः
31227,मात्राछन्दः
8186,स्वजनः
35081,साधनम्
21144,क्षुपः
7400,चलनम्
24700,पुरम्
33859,पैगम्बरः
31378,पौराणिकपुरुषः
21734,लता
40131,व्यञ्जनम्
1442,आसक्तिः
24968,मण्डलम्
34631,वित्तकोषः
31806,रागिणी
4344,यौगिकपदार्थः
32507,देवः
7244,कर्मकरः
6296,कर्म
5221,अनुयायिन्
29435,राक्षसी
30735,राज्यम्
1588,दशा
16777,मल्हाररागः
10539,मनुष्यः
30768,अग्निजिह्वा
33724,धर्म-कर्म
10306,कर्म
22883,गलगण्डः
304,मनुष्यः
33891,खण्डः
39249,दशा
32461,क्षेत्रम्
39233,पर्वतः
4293,ललितकला
15518,क्षुपः
22927,वेतनम्
36025,क्रिया
1517,अरण्यमार्जारः
24932,पुरम्
6651,कर्म
4335,पुस्तकम्
31835,नरकः
1789,वेशः
39813,वैद्यः
7900,आहवः
8820,वायुः
20099,हस्तोपकरणम्
8039,मनोदशा
4479,वृक्षः
35237,कर्मकरः
36414,कारयानम्
6067,अप्राकृतिकस्थानम्
6817,क्षुपः
4967,नामधेयम्
33757,वृत्तम्
35782,गानम्
2799,परिश्रमः
29992,विरोधः
21907,स्थानम्
3402,न्यायाज्ञा
361,राशिः
26176,राजप्रासादः
29537,पौराणिकस्त्री
37126,अग्निः
31844,नरकः
5044,सङ्ख्या
34274,द्वीपसमूहः
30387,द्रोणी
30181,विहारस्थलानि
37006,कर्म
25388,पुरम्
375,क्रिया
34650,अमात्यः
1006,धर्मशास्त्रम्
23081,पटम्
24280,उपकरणम्
18156,असुरः
15026,मनुष्यः
38565,मनुष्यः
11114,परिमाणम्
31414,वीरः
21357,अप्सरसः
36384,पदार्थः
15213,स्वाभाविकक्रिया
4053,व्यवहारः
25922,मण्डलम्
25332,पुरम्
6049,युगम्
39036,अनुप्राप्तिः
30229,शिवलिङ्गम्
3021,पूर्तिः
5238,चिह्नम्
15404,व्याधिः
21625,मनुष्यः
4538,सिद्धान्तः
106,ऐकमत्यम्
13082,दशा
26630,गायकः
6517,निर्माणम्
34539,निरीक्षणम्
36582,स्थितिः
37704,उपाधिः
36023,अभिव्यक्तिः
29857,वृत्तम्
21306,आम्रम्
29549,सङ्गणकः
2880,उपकरणम्
28037,अभियोगः
33130,अक्षरम्
17167,लता
4389,कुटुम्बः
6016,क्षुपः
40594,कृन्तकजन्तुः
24740,मण्डलम्
4760,खाद्यफलम्
25932,मण्डलम्
25068,नागवल्ली
37046,मनोदशा
17193,वाद्यम्
16810,व्याधिः
17432,देवः
35244,अमात्यः
7061,मनुष्यः
24103,शास्त्रविद्
1082,ध्वजः
39162,पदम्
24771,मण्डलम्
27372,क्षेत्रम्
21146,मुद्रा
30191,दुर्गम्
38197,मण्डलम्
16162,संकर-रागः
19684,स्थानम्
19082,अवधिः
31656,असुरः
5460,भण्डम्
3288,ओषधिः
4813,मापकः
3816,विकारः
1402,पौराणिकपुरुषः
26376,पौराणिकस्त्री
9371,जातिः
32471,प्रतिज्ञापत्रम्
7235,उक्तिः
22622,असुरः
2891,कर्म
1090,समुदायः
37367,अधिकारी
25914,मण्डलम्
1201,मणिः
11095,कर्म
10554,विद्यालयः
2606,अवज्ञा
28540,गजः
24741,पुरम्
7632,युथः
