id,lemma,pos
3120,प्रकटनम्,noun
21165,उजबेकिस्तानदेशीय-सोमम्,noun
859,मुद्रा,noun
35249,जनाधारः,noun
12343,आधारः,noun
12278,अटनम्,noun
24915,कोझीकोडनगरम्,noun
23511,हिंदुत्वम्,noun
3860,विशेषता,noun
17093,रसवती,noun
29703,वसुकृत्,noun
12836,ऋषिः,noun
25764,नरनौलनगरम्,noun
1299,डिण्डिमवादकः,noun
1318,वादकः,noun
39298,आरा,noun
4702,दात्रम्,noun
20899,छाया,noun
923,वस्तुः,noun
23971,जीलैण्डद्वीपः,noun
5714,द्वीपः,noun
21352,हंसपदी,noun
8324,अप्सरसः,noun
30368,जोहिलानदी,noun
4430,नदी,noun
1279,तित्तिरः,noun
2063,खगः,noun
23239,ताडनी,noun
23241,ताडनी,noun
16824,जलव्यथः,noun
4448,मत्स्यः,noun
9268,लखेरः,noun
25326,आनन्दः,noun
9761,महाधमनिः,noun
8124,धमनी,noun
3065,मातामहगृहम्,noun
2714,इन्द्रजालिकः,noun
10544,उपाहारगृहम्,noun
4321,मत्स्यकण्टकः,noun
10840,समीक्षणम्,noun
1210,लेखः,noun
16077,दिग्भ्रमः,noun
3529,शुण्डा,noun
985,घ्राणम्,noun
35290,मुख्यधारा,noun
1897,अमूर्तवस्तु,noun
12359,आर्या,noun
3461,सम्बोधनम्,noun
33781,तारकमन्त्रः,noun
7263,मन्त्र,noun
5209,ओदनम्,noun
20,अन्नम्,noun
4651,वेश्या,noun
4419,कुराणम्,noun
8058,धर्मग्रन्थः,noun
31817,अविनीता,noun
37763,अक्षया,noun
813,चतुर्थी,noun
33661,सुराकरः,noun
3822,कार्यशाला,noun
24904,अलप्पुझानगरम्,noun
31291,कासारः,noun
25767,दण्डकवृत्तः,noun
4629,कषाया,noun
4578,क्षुपा,noun
1884,कमाचम्,noun
2183,पटम्,noun
6997,प्रस्तावः,noun
7511,मतम्,noun
5981,दिनाङ्कः,noun
1965,दिवसः,noun
28763,कान्तलोहम्,noun
2690,शिला,noun
14208,गोनसः,noun
2064,सर्पः,noun
18434,जर्मनभाषा,noun
5489,भाषा,noun
36190,धनुर्विद्या,noun
672,क्रीडा,noun
8168,सम्प्रदायः,noun
7097,लकुचः,noun
2349,वृक्षः,noun
21492,देवकिरी,noun
9833,निबन्धकः,noun
3390,कर्मकरः,noun
34975,पत्रम्,noun
28561,मण्डूकः,noun
4449,मण्डूकः,noun
25315,दैष्टिकत्वम्,noun
1576,सिद्धान्तः,noun
21251,भीमरथः,noun
15639,अधोंशुकम्,noun
492,वेशः,noun
3889,शालिजौदनः,noun
5207,तण्डुलः,noun
5780,वरोटम्,noun
9325,पञ्चामृतम्,noun
6798,पेयम्,noun
8688,इक्षुः,noun
1249,ओषधिः,noun
33931,ईतिः,noun
3406,वर्ग,noun
38560,सुव्यवस्था,noun
23774,व्यवस्था,noun
9728,मधुशर्करा,noun
5247,शर्करा,noun
33094,विलयनम्,noun
33207,अधिनिर्णयः,noun
6506,निर्णयः,noun
30478,द्विगुः,noun
10185,समासः,noun
36607,असुरक्षितता,noun
34836,नृत्यगानम्,noun
6278,शारीरिक-कार्यम्,noun
29337,हारीतः,noun
3907,आप्तः,noun
470,रङ्गमञ्चः,noun
465,मञ्चः,noun
26981,चित्रगुप्तः,noun
4348,यमः,noun
287,मृदुजलम्,noun
1930,जलम्,noun
20807,प्रेमकथा,noun
4039,कथा,noun
29776,घोषः,noun
4696,ग्रामः,noun
3616,प्रार्थनागृहम्,noun
4,पवित्रस्थानम्,noun
602,त्वचोकरीत्री,noun
38840,लोकजीवनम्,noun
25623,जीवनम्,noun
31876,प्रभावः,noun
31552,पृथक्करणम्,noun
561,तर्जनी,noun
2009,अङ्गुलिः,noun
11229,आरक्षणम्,noun
3344,आदानम्,noun
37010,चोखामेलाः,noun
12260,वृत्तिः,noun
2122,ध्वंसनम्,noun
2913,परिवर्तनम्,noun
735,अश्वशाला,noun
5264,पशुशाला,noun
13776,पञ्चत्रिंशत्,noun
6559,कर्करोगः,noun
6569,स्फोटकः,noun
8148,शिरीषः,noun
10818,राजस्थानम्,noun
231,राज्यम्,noun
33020,भोजः,noun
26599,पालीनगरी,noun
30896,तालीशपत्रम्,noun
28411,अभिसारः,noun
78,संयोगः,noun
12858,केतकी,noun
32041,शक्तुकः,noun
3171,विषम्,noun
21069,फिलिपीन्सदेशः,noun
33673,आसुतिः,noun
24376,सानानगरम्,noun
4500,राजधानी,noun
637,ऋषभशकटम्,noun
4889,शकटः,noun
37761,अक्षमा,noun
1562,अप्राचुर्यम्,noun
7548,शङ्खासुरः,noun
16032,आसावरी,noun
22661,वर्णकङ्करः,noun
13302,कच्छः,noun
2022,क्षेत्रम्,noun
9956,लड्डुकः,noun
7647,मिष्टान्नम्,noun
33609,आत्मनिर्भरता,noun
7712,भावः,noun
30711,किक्नसः,noun
19,शस्यम्,noun
35324,केन्द्रीय-सतर्कता-आयुक्तः,noun
35325,आयुक्तः,noun
17914,पूतिरक्तम्,noun
16022,मल्हाररागः,noun
13245,राजी,noun
5798,कृष्णिका,noun
2838,झझनम्,noun
1651,वैमत्यम्,noun
13729,षोडश,noun
33489,सभामण्डपम्,noun
3552,शाला,noun
10207,सहाध्यायी,noun
15270,शिलाङ्गनगरम्,noun
21783,जलकिराटः,noun
11188,परिचयः,noun
31875,प्रभावः,noun
24121,डबलिननगरम्,noun
13423,दामोदरः,noun
24176,नदः,noun
6328,चञ्चापुरुषः,noun
10628,प्रतिकृतिः,noun
10007,अन्तर्धा,noun
12081,अदर्शनम्,noun
33065,स्मृतिः,noun
16667,नरकासुरः,noun
2542,रात्रिपरिक्रमणम्,noun
6766,रक्षणम्,noun
17419,अनुज्ञापकः,noun
23560,पाणिका,noun
3475,भण्डम्,noun
38532,वैखरी,noun
27003,रूपम्,noun
13762,त्रिंशत्,noun
30340,गजनेरः,noun
20328,विहारस्थलानि,noun
31153,अश्वशावकः,noun
7963,अपत्यम्,noun
1227,माषः,noun
1967,कुसूलः,noun
11152,नियन्त्रणसमितिः,noun
6738,समितिः,noun
3033,सन्देशम्,noun
3035,वङ्गमिष्टान्नम्,noun
9096,दन्तकाष्ठम्,noun
616,वनस्पति-भागः,noun
33264,आरण्यकम्,noun
3136,वस्तुभागः,noun
9835,भर्जितव्रीहिः,noun
1516,शल्यकण्ठः,noun
704,जरायुजजन्तुः,noun
1153,वंशजः,noun
165,स्वजनः,noun
31166,चम्पकरागः,noun
21179,निशुम्भः,noun
22263,महाचित्ता,noun
16108,गान्धारः,noun
8403,स्वरः,noun
22909,जलकाकः,noun
750,जलपक्षी,noun
30384,औली,noun
29354,जरा,noun
35266,श्रममन्त्रालयः,noun
35368,मन्त्रालयः,noun
29772,दीर्घलोचनः,noun
32011,व्याघातः,noun
3590,अर्थालङ्कारः,noun
2215,नकुलः,noun
703,मांसाहारी,noun
36620,स्वास्थ्यमन्त्रालयः,noun
3321,मठाधीशः,noun
2740,प्रधानः,noun
31210,शर्णचापिलिः,noun
21616,गोत्रप्रवर्तकः,noun
33464,ज्ञवर्णः,noun
261,व्यञ्जनम्,noun
7764,मुहूर्तः,noun
878,कालः,noun
29894,नाभागः,noun
33674,आसुरीचिकित्सा,noun
732,उपचारः,noun
30820,अरुणोदम्,noun
2650,सागरः,noun
39973,सामान्यभूतकालः,noun
26699,भूतकालः,noun
39047,गन्त्री,noun
4890,यानम्,noun
38835,अरतिः,noun
2635,अतृप्तिः,noun
21859,सुचन्द्रः,noun
4446,भूजन्तुः,noun
419,पृष्ठवंशहीनजीवः,noun
18230,निन्दा,noun
3631,भर्त्सनम्,noun
30894,विद्युन्माला,noun
22327,यक्षिणी,noun
4369,पुराकथा,noun
23973,द्राक्षारसः,noun
7522,मद्यम्,noun
